StartDate,study_id,withdraw,EndDate,Status,Progress,Duration__in_seconds_,Finished,RecordedDate,date,bpns_gen_1,bpns_gen_2,bpns_gen_3,bpns_gen_4,bpns_gen_5,bpns_gen_6,bpns_gen_7,bpns_gen_8,bpns_gen_9,bpns_gen_10,bpns_gen_11,bpns_gen_12,bpns_gen_13,bpns_gen_14,bpns_gen_15,bpns_gen_16,bpns_gen_17,bpns_gen_18,bpns_gen_19,bpns_gen_20,bpns_gen_21,bpns_gen_22,bpns_gen_23,bpns_gen_24,bpns_gen_25,bfi_1,bfi_2,bfi_3,bfi_4,bfi_5,bfi_6,bfi_7,bfi_8,bfi_9,bfi_10,bfi_11,bfi_12,bfi_13,bfi_14,bfi_15,bfi_16,bfi_17,bfi_18,bfi_19,bfi_20,bfi_21,bfi_22,bfi_23,bfi_24,bfi_25,bfi_26,bfi_27,bfi_28,bfi_29,bfi_30,bfi_31,bfi_32,bfi_33,bfi_34,bfi_35,bfi_36,bfi_37,bfi_38,bfi_39,bfi_40,bfi_41,bfi_42,bfi_43,bfi_44,bfi_45,afi_1,afi_2,afi_3,afi_4,afi_5,afi_6,afi_7,afi_8,afi_9,afi_10,afi_11,afi_12,afi_13,afi_14,afi_15,afi_16,authentic_1,authentic_2,authentic_3,authentic_4,authentic_5,authentic_6,authentic_7,authentic_8,authentic_9,authentic_10,authentic_11,authentic_12,authentic_13,selfreflect_1,selfreflect_2,selfreflect_3,selfreflect_4,selfreflect_5,selfreflect_6,selfreflect_7,selfreflect_8,selfreflect_9,selfreflect_10,selfreflect_11,selfreflect_12,selfreflect_13,gender,gender_3_TEXT,Q42,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,iphone,consent,consent1,consent2,Q12,Q20,Q53,Q32,Q35,Q31,Q52,Q30,Q37,Q38,Q39,Q51,Q40,Q50,Q51.0
2019-04-23T10:48:06Z,NA,1,2019-04-23T11:44:15Z,0,100,3369,1,2019-04-23T11:44:24Z,16,4,3,4,5,5,4,5,4,4,5,5,4,4,2,4,2,4,4,3,4,5,5,5,6,2,2,4,4,3,4,4,4,3,1,4,2,2,4,4,2,2,4,2,5,4,4,2,2,3,3,4,3,4,3,4,4,3,3,1,2,2,3,2,3,4,1,3,2,4,5,3,4,4,3,3,3,3,3,2,5,3,3,4,4,4,1,4,3,3,2,3,2,2,4,4,2,4,2,3,5,6,7,1,7,6,3,3,3,4,7,8,5,2,,5,NA,1,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2019-04-15T18:00:59Z,NA,1,2019-04-15T20:54:01Z,0,100,10382,1,2019-04-15T20:54:01Z,8,4,2,5,6,6,5,7,7,3,3,3,5,3,5,4,4,4,2,2,3,7,4,4,7,2,5,4,3,3,3,2,4,4,1,2,4,4,3,5,3,4,5,5,5,3,3,4,5,2,2,3,3,3,5,5,3,5,2,1,4,5,4,3,5,2,1,4,5,5,5,2,2,3,2,2,4,4,4,3,5,3,1,3,3,1,1,3,5,1,1,1,2,5,4,3,4,1,4,3,6,0,8,7,6,7,5,6,7,5,4,5,5,1,,2,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,2,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-04-15T17:33:39Z,NA,1,2019-04-16T15:35:53Z,0,100,79333,1,2019-04-16T15:35:53Z,8,6,6,6,6,5,2,2,6,6,7,7,7,1,1,1,1,5,5,4,4,6,5,5,6,2,5,NA,5,3,4,2,5,4,3,5,5,1,4,4,4,5,NA,NA,4,4,1,5,4,4,4,2,2,3,3,5,NA,5,4,4,NA,5,NA,NA,4,5,5,5,NA,4,5,4,5,4,5,5,5,5,1,1,5,3,4,5,5,5,1,5,2,1,1,3,2,4,5,5,2,4,1,3,9,7,4,0,7,9,0,6,0,1,7,10,5,2,,4,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-04-22T17:28:09Z,1,NA,2019-04-22T17:43:48Z,0,100,939,1,2019-04-22T17:43:49Z,15,6,NA,5,5,5,1,4,3,7,7,6,7,4,1,4,2,5,6,5,3,3,3,2,3,2,2,2,4,4,3,5,4,2,4,5,2,1,4,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4,4,2,4,2,2,2,4,4,4,2,4,4,4,5,4,3,4,4,4,4,2,3,3,4,4,2,5,5,5,1,5,3,3,1,4,3,2,4,4,1,4,1,3,8,6,8,1,8,10,1,3,9,5,8,8,5,2,,6,NA,1,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
2019-04-15T16:34:22Z,2,NA,2019-04-15T17:13:14Z,0,100,2331,1,2019-04-15T17:13:14Z,8,7,4,5,4,4,1,1,2,7,7,7,7,1,1,1,1,5,7,6,4,3,4,2,2,6,1,2,4,1,4,1,4,1,4,4,3,1,4,1,3,3,3,1,1,3,3,5,2,5,4,5,2,3,1,5,2,5,4,5,3,5,1,5,2,5,4,4,3,3,5,3,4,3,5,4,3,1,1,1,1,5,4,5,5,4,1,5,1,1,1,1,3,1,4,5,1,5,1,3,10,9,10,0,8,9,0,6,0,0,8,9,5,2,,5,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,1,NA,1,NA,9,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-04-24T10:37:27Z,3,NA,2019-04-24T10:44:52Z,0,100,444,1,2019-04-24T10:44:52Z,17,5,4,4,3,4,4,4,5,5,5,5,5,5,2,3,4,5,4,4,4,3,6,5,6,2,4,3,3,1,3,2,4,3,2,4,4,1,4,2,3,4,3,3,4,3,2,4,2,2,4,2,1,4,3,5,1,4,5,2,3,4,2,4,4,3,1,4,4,3,5,2,3,3,2,3,3,2,3,4,4,3,3,3,3,3,1,4,3,4,3,3,4,3,3,3,2,3,2,3,5,2,5,3,2,5,1,1,7,1,3,5,5,2,,5,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,2,10,NA,NA,NA,NA,1,NA,NA,NA,NA
2019-04-23T10:48:23Z,4,NA,2019-04-23T16:40:04Z,0,100,21100,1,2019-04-23T16:40:05Z,16,6,7,6,6,5,2,5,1,6,6,6,6,3,6,2,1,6,6,6,7,2,2,2,2,2,5,3,5,2,4,2,4,2,4,4,5,1,4,3,4,5,4,1,4,4,1,5,1,2,3,5,1,2,5,5,1,5,4,3,5,4,2,5,4,4,1,4,5,5,5,5,4,4,4,4,4,2,2,4,5,5,4,4,5,4,1,5,3,4,4,4,4,NA,4,5,4,5,2,3,10,6,4,1,10,9,3,3,0,7,1,8,5,2,,4,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,2,8,NA,NA,NA,NA,1,NA,NA,NA,NA
2019-04-16T10:23:38Z,5,NA,2019-04-16T10:35:34Z,0,100,716,1,2019-04-16T10:35:35Z,9,6,5,5,4,6,2,2,1,7,6,7,7,1,1,1,1,4,4,3,5,2,1,2,1,2,4,2,4,1,4,2,5,3,3,4,5,1,5,5,5,4,4,1,1,4,2,4,2,1,2,1,1,5,3,4,5,5,5,3,5,4,2,5,5,4,2,4,3,4,5,4,4,4,4,4,1,1,3,2,2,4,4,5,5,4,1,5,1,2,2,1,2,1,4,4,1,4,1,3,8,0,2,6,6,4,5,10,5,7,2,4,5,1,,4,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
2019-04-23T13:25:56Z,6,NA,2019-04-23T14:47:12Z,0,12,4875,0,2019-04-30T14:48:06Z,16,3,4,4,5,4,3,6,4,3,3,3,3,6,5,5,2,2,4,4,3,5,5,6,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-23T13:12:27Z,7,NA,2019-04-23T13:31:16Z,0,100,1128,1,2019-04-23T13:31:16Z,16,3,2,3,2,4,2,4,3,6,5,6,4,3,3,2,3,3,3,3,4,6,4,6,3,2,3,1,4,2,3,4,4,2,4,3,4,2,4,2,2,4,4,3,3,3,5,5,3,4,3,2,1,2,2,4,5,4,3,4,3,4,1,4,5,3,2,4,3,2,5,2,4,3,3,4,3,2,1,1,3,2,3,3,4,3,1,5,3,4,1,3,4,3,4,4,4,3,2,3,7,7,6,3,6,6,3,4,2,5,2,1,5,2,,4,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA
